CategoryID;DeviceCategory
1;Smartphone
2;Tablet
3;Smartwatch
4;Personal Navigation Assistant (PNA)
5;Personal Digital Assistant (PDA)
6;Notebook/laptop
7;Palmtop
8;Smart Camera
9;Yes
10;Subnotebook
11;Head-mounted Display (HMD)
