DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
1972;;154.63 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
1973;;135.6 mm;480x960;Color TN-TFT LCD display;24 bit/pixel;Yes;
1974;;148.3 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
1975;;157.48 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;LED;61 Hz
1976;;139.7 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
1977;;154.9 mm;600x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
1978;;160 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
1979;;152.65 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1980;;149.86 mm;720x1560;Color TN-TFT LCD display;24 bit/pixel;;
1981;;143.5 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
1982;;152.14 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
1983;;139.7 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
1984;;152.15 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
1985;;152.1 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
1986;1-hole;170.3 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1987;;156.9 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
1988;;149.8 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
1989;;38.1 mm;390x390;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1990;;152.1 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1991;;170.18 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
1992;;162.6 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1993;;157.48 mm;2160x3840;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1994;;162.4 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
1995;;154.7 mm;1440x3120;Color IPS TFT LCD display;24 bit/pixel;LED;
1996;;213 mm;1600x2560;Color IPS TFT LCD display;24 bit/pixel;LED;
1997;;116.3 mm;720x1680;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1998;;162.5 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1999;;157.5 mm;1080x2232;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2000;;127 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
