DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
3001;;114.3 mm;720x1280;Color IPS TFT LCD display;;Yes;
3002;;114.3 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3003;;66 mm;480x320;Color TN-TFT LCD display;;Yes;
3004;;109 mm;540x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
3005;;139.7 mm;1536x2560;Color TN-TFT LCD display;24 bit/pixel;Yes;
3006;;165.1 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
3007;;108.5 mm;540x960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3008;;139.7 mm;1080x1920;Color IPS TFT LCD display;;Yes;
3009;;109 mm;720x1280;Color PVA TFT LCD display;24 bit/pixel;Yes;
3010;;132.1 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
3011;;127 mm;768x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3012;;355.6 mm;1920x1080;Color TN-TFT LCD display;24 bit/pixel;Yes;
3013;;133.4 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3014;;127.3 mm;480x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
3015;;312.42 mm;1600x1200;Color IPS TFT LCD display;24 bit/pixel;Yes;
3016;;114.3 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
3017;;114.3 mm;1080x1920;Color ASV TFT LCD display;24 bit/pixel;Yes;
3018;;127 mm;540x960;Color TN-TFT LCD display;;Yes;
3019;;279.4 mm;1366x768;Color TN-TFT LCD display;24 bit/pixel;Yes;
3020;;247 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3021;;178 mm;1200x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
3022;;;320x320;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3023;;31 mm;240x204;Color IPS TFT LCD display;18 bit/pixel;Yes;
3024;;101.6 mm;480x800;Color IPS TFT LCD display;18 bit/pixel;Yes;
3025;;101 mm;480x800;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3026;;40.64 mm;320x320;Color TN-TFT LCD display;;Yes;
3027;;119 mm;1080x1920;Color IPS TFT LCD display;16 bit/pixel;Yes;
3028;;355.6 mm;2560x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
3029;;134.6 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
3030;;32 mm;144x168;monochrome E Ink display;2 bit/pixel;LED;
3031;;127 mm;1080x1920;Color TN-TFT LCD display;;Yes;
3032;;101 mm;854x480;Color ASV TFT LCD display;24 bit/pixel;Yes;
3033;;126.5 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3034;;151.13 mm;720x1280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3035;;610 mm;1920x1080;Color TN-TFT LCD display;24 bit/pixel;Yes;
3036;;256 mm;1280x800;Color MVA TFT LCD display;24 bit/pixel;LED;
3037;;114.8 mm;540x960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3038;;127 mm;768x1024;Color IPS TFT LCD display;24 bit/pixel;Yes;
3039;;138.78 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;Yes;
3040;;144.9 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3041;;;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3042;;101 mm;480x800;Color TN-TFT LCD display;18 bit/pixel;Yes;
3043;;114.2 mm;480x800;Color PLS TFT LCD display;24 bit/pixel;Yes;
3044;;256.54 mm;2048x1536;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3045;;99 mm;768x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3046;;;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3047;;101.6 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3048;;132 mm;1080x1290;Color IPS TFT LCD display;24 bit/pixel;Yes;
3049;;119 mm;540x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
3050;;134.6 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
3051;;257 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3052;;114 mm;480x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
3053;;255.5 mm;2560x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
3054;;156.7 mm;1600x2560;Color TN-TFT LCD display;24 bit/pixel;Yes;
3055;;256.54 mm;3840x2160;Color TN-TFT LCD display;24 bit/pixel;Yes;
3056;;100.84 mm;480x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
3057;;151.9 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3058;;149.8 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3059;;119.4 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
3060;;81.3 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;Yes;
3061;;127 mm;480x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
3062;;81.3 mm;240x320;Color TN-TFT LCD display;24 bit/pixel;Yes;
3063;;121.9 mm;540x960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3064;;106.7 mm;768x1024;Color TN-TFT LCD display;24 bit/pixel;Yes;
3065;;199.4 mm;768x1024;Color TN-TFT LCD display;24 bit/pixel;Yes;
3066;;226 mm;1536x2048;Color IPS TFT LCD display;24 bit/pixel;Yes;
3067;;257 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
3068;;233 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
3069;;114.3 mm;720x1280;Color ASV TFT LCD display;24 bit/pixel;Yes;
3070;;155 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
3071;;140 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
3072;;109.2 mm;480x800;Color TN-TFT LCD display;;Yes;
3073;;208 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3074;;101 mm;480x800;Color IPS TFT LCD display;;Yes;
3075;;114.8 mm;540x960;Color TN-TFT LCD display;24 bit/pixel;Yes;
3076;;99.06 mm;768x1280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3077;;140 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3078;;125.73 mm;1080x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
3079;;114.3 mm;;Color PM-OLED display;24 bit/pixel;Self-illuminating;
3080;;256.54 mm;1280x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
3081;;140 mm;1080x1920;Color ASV TFT LCD display;24 bit/pixel;Yes;
3082;;106.7 mm;768x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3083;;132 mm;1080x1920;Color PVA TFT LCD display;24 bit/pixel;Yes;
3084;;254 mm;1920x1200;Color TN-TFT LCD display;24 bit/pixel;Yes;
3085;;139.52 mm;720x1280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3086;;119 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
3087;;177.8 mm;1280x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
3088;;177.8 mm;1200x1920;Color TN-TFT LCD display;24 bit/pixel;Yes;
3089;;212.85 mm;1600x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3090;;76.2 mm;240x320;Color TN-TFT LCD display;24 bit/pixel;Yes;
3091;;113.5 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3092;;309.7 mm;2560x1600;Color PVA TFT LCD display;24 bit/pixel;Yes;
3093;;81 mm;240x320;Color IPS TFT LCD display;18 bit/pixel;Yes;
3094;;76 mm;240x320;Color TN-TFT LCD display;18 bit/pixel;Yes;
3095;;152.4 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
3096;;79 mm;720x720;Color AM-OLED display;24 bit/pixel;Self-illuminating;
3097;;144.8 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3098;;355.6 mm;1366x768;Color TN-TFT LCD display;24 bit/pixel;LED;
3099;;101 mm;640x1136;Color TN-TFT LCD display;24 bit/pixel;LED;
3100;;149.86 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
3101;;213.4 mm;1600x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
